customer_id,name,gender,age,prefecture,registration_date,channel
77,加藤 蓮,男性,51.0,神奈川県,2024/05/11,オーガニック検索
78,佐藤 陽菜,F,38.0,福岡県,2024-04-22,友人紹介
79,井上 莉子,女性,24.0,大阪府,2023-12-04,メルマガ
80,山本 芽依,M,22.0,千葉県,2024-05-17,SNS広告
81,吉田 陽菜,男性,33.0,東京都,2023-10-22,オーガニック検索
82,小林 陽菜,男性,30.0,愛知県,2024-05-25,SNS広告
83,山本 芽依,女性,29.0,愛知県,2024-02-20,オーガニック検索
84,山本 樹,女性,34.0, 大阪府 ,2024-05-22,SNS広告
85,佐藤 颯太,F,37.0,大阪府,2024-09-30,検索広告
86,伊藤 葵,女性,44.0,広島県,2023-07-09,検索広告
87,山本 葵,女性,23.0,福岡県,2024-04-03,オーガニック検索
88,渡辺 湊,女性,30.0,愛知県,2024/01/29,検索広告
89,伊藤 大翔,回答なし,36.0,福岡県,2024-04-21,オーガニック検索
90,吉田 湊,女性,36.0, 広島県 ,2024-05-06,メルマガ
91,山口 悠人　,女性,60.0,北海道,2024-05-02,オーガニック検索
92,松本 颯太,女性,41.0,愛知県,2024/09/20,SNS広告
93,井上 陽斗,男性,19.0,東京都,2024-10-19,検索広告
94,吉田 湊,女性,43.0,東京都,2023-12-16,友人紹介
95,山本 さくら,女性,45.0, 東京都 ,2023/09/03,オーガニック検索
96,吉田 凛,女性,36.0,埼玉県,2023-05-28,SNS広告
97,高橋 樹,女性,,北海道,2024-11-14,友人紹介
98,山口 颯太,M,,東京都,2023/08/18,検索広告
99,小林 陽斗,女性,0.0,北海道,2024-01-01,SNS広告
100,高橋 芽依,女性,46.0,愛知県,2024-02-16,検索広告
101,山本 蓮,M,200.0,兵庫県,2023-10-16,検索広告
102,伊藤 さくら,女性,45.0,福岡県,2024-02-22,SNS広告
103,渡辺 颯太,男性,58.0,埼玉県,2024-11-04,オーガニック検索
104,佐藤 颯太,女性,,東京都,2023-02-03,SNS広告
105,佐藤 陽菜,男性,31.0, 兵庫県 ,2023-09-29,オーガニック検索
106,渡辺 湊　,女性,51.0,東京都,2023-11-22,メルマガ
107,伊藤 悠人,女性,30.0,福岡県,2024-06-22,メルマガ
108,井上 芽依,女性,40.0,大阪府,2023-07-03,検索広告
109,伊藤 大翔,回答なし,22.0,埼玉県,2024-02-05,オーガニック検索
110,渡辺 湊　,女性,26.0,東京都,2023/10/03,検索広告
111,松本 陽斗　,男性,39.0,北海道,2024/04/14,オーガニック検索
112,山口 芽依,男性,42.0,千葉県,2023-12-11,SNS広告
113,佐藤 悠真,女性,18.0,神奈川県,2023-08-19,オーガニック検索
114,鈴木 さくら,女性,44.0,兵庫県,2024/07/20,検索広告
115,鈴木 陽斗,女性,28.0,愛知県,2024-08-21,オーガニック検索
116,中村 結衣,回答なし,53.0,神奈川県,2024-05-18,検索広告
117,加藤 陽菜,男性,34.0, 東京都 ,2024-11-11,検索広告
118,渡辺 陽菜　,F,25.0,埼玉県,2023/10/24,オーガニック検索
119,佐藤 結衣,女性,39.0,東京都,2024-05-19,SNS広告
120,田中 颯太　,男性,27.0,大阪府,2023-10-21,オーガニック検索
121,加藤 凛,女性,53.0,愛知県,2024-06-28,オーガニック検索
122,渡辺 美咲,女性,38.0,京都府,2024/03/20,オーガニック検索
123,鈴木 蓮,女性,36.0,埼玉県,2024-07-06,オーガニック検索
124,吉田 樹,女性,45.0,東京都,2023/07/29,オーガニック検索
125,加藤 颯太,男性,26.0,京都府,2024-08-05,メルマガ
126,中村 悠人,男性,23.0, 大阪府 ,2024-11-10,検索広告
127,井上 悠真,女性,-1.0,大阪府,2023-02-09,オーガニック検索
128,山口 莉子,女性,,千葉県,2023-04-03,オーガニック検索
129,佐藤 湊,男性,25.0,兵庫県,2024-09-23,検索広告
130,松本 悠真,女性,48.0,東京都,2023-11-21,検索広告
131,佐藤 美咲,女性,44.0,神奈川県,2024-01-19,検索広告
132,中村 樹,女性,23.0,大阪府,2023-05-09,オーガニック検索
133,松本 陽斗,男性,31.0,東京都,2024-02-01,SNS広告
134,井上 陽菜,回答なし,27.0,京都府,2024-06-03,オーガニック検索
135,佐藤 大翔,男性,59.0,神奈川県,2024-10-02,オーガニック検索
136,鈴木 樹,女性,49.0,東京都,2024-12-17,オーガニック検索
137,田中 樹,男性,33.0,東京都,2023-05-05,検索広告
138,伊藤 芽依,F,45.0,兵庫県,2023/12/26,オーガニック検索
139,伊藤 美咲,M,22.0,大阪府,2024-04-03,オーガニック検索
140,山本 陽菜,F,30.0, 東京都 ,2024-04-26,検索広告
141,渡辺 湊,女性,,東京都,2024-07-09,検索広告
142,加藤 陽斗,女性,43.0,東京都,2023/12/31,SNS広告
143,山口 陽斗,女性,37.0,東京都,2023-10-31,友人紹介
144,小林 さくら,女性,41.0,大阪府,2023/11/18,SNS広告
145,渡辺 湊,男性,39.0,東京都,2023-06-08,検索広告
146,加藤 蓮,M,36.0,東京都,2023-09-27,検索広告
147,加藤 大翔,M,34.0,北海道,2024/03/19,検索広告
148,松本 陽斗　,女性,33.0, 愛知県 ,2024-10-20,SNS広告
149,井上 悠真,F,41.0,大阪府,2024-10-01,オーガニック検索
150,伊藤 さくら,女性,43.0,愛知県,2024-09-29,SNS広告
151,松本 陽菜,女性,40.0,千葉県,2023-11-03,メルマガ
152,山口 湊,F,24.0,福岡県,2024/01/18,検索広告
153,高橋 悠人,男性,26.0,埼玉県,2024-09-24,SNS広告
154,小林 大翔,回答なし,,兵庫県,2024-11-29,オーガニック検索
155,高橋 陽菜,女性,56.0,愛知県,2024-07-09,オーガニック検索
156,中村 葵,M,40.0,東京都,2023/07/24,メルマガ
157,佐藤 蓮,男性,33.0,京都府,2024-02-20,検索広告
158,伊藤 樹,F,41.0,愛知県,2024/01/28,SNS広告
159,加藤 大翔,男性,24.0,愛知県,2024-07-12,オーガニック検索
160,伊藤 大翔,女性,54.0,東京都,2024-09-18,検索広告
161,佐藤 樹,女性,40.0,埼玉県,2024/02/22,メルマガ
162,山本 悠真,回答なし,30.0,兵庫県,2024-11-11,SNS広告
163,小林 美咲,男性,36.0,東京都,2024-10-02,検索広告
164,佐々木 芽依,F,32.0, 北海道 ,2024-10-25,オーガニック検索
165,高橋 芽依,女性,54.0, 東京都 ,2023-08-04,オーガニック検索
166,中村 颯太　,回答なし,36.0,埼玉県,2024-06-07,メルマガ
167,田中 悠人,女性,40.0,京都府,2023-05-30,メルマガ
168,高橋 颯太,男性,45.0,愛知県,2023-10-23,検索広告
169,鈴木 蓮,男性,29.0,広島県,2024-10-29,オーガニック検索
170,佐々木 悠人,女性,40.0, 埼玉県 ,2023-08-26,友人紹介
171,松本 樹　,男性,41.0,神奈川県,2023/07/24,検索広告
172,吉田 陽菜,男性,19.0,東京都,2024-08-14,SNS広告
173,山本 樹,M,41.0,東京都,2023-12-23,メルマガ
174,井上 大翔,女性,37.0,大阪府,2023/09/07,検索広告
175,中村 莉子,女性,40.0, 東京都 ,2023-11-07,友人紹介
176,小林 美咲,女性,38.0,東京都,2024-09-26,SNS広告
177,吉田 陽菜,男性,41.0,兵庫県,2023/05/26,メルマガ
178,吉田 湊,男性,54.0,千葉県,2024-10-23,オーガニック検索
179,中村 陽菜,男性,24.0,北海道,2024-10-09,オーガニック検索
180,中村 蓮,男性,34.0, 大阪府 ,2024/02/05,オーガニック検索
181,渡辺 大翔,女性,46.0,埼玉県,2023-10-25,検索広告
182,吉田 さくら,F,200.0,兵庫県,2023-08-07,オーガニック検索
183,吉田 凛,男性,44.0,大阪府,2024/12/16,友人紹介
184,山本 陽菜,女性,71.0,北海道,2023-08-29,友人紹介
185,山田 颯太,男性,45.0,東京都,2023-07-05,友人紹介
186,高橋 莉子,女性,52.0,東京都,2024-03-31,オーガニック検索
187,山本 結衣,女性,34.0, 大阪府 ,2024-11-25,オーガニック検索
188,井上 莉子,M,26.0, 埼玉県 ,2024-10-17,オーガニック検索
189,山田 大翔,女性,34.0,大阪府,2023-08-01,オーガニック検索
190,山田 美咲,F,47.0,千葉県,2024-01-08,オーガニック検索
191,山口 悠人,男性,43.0,神奈川県,2023-04-08,検索広告
192,加藤 悠真,男性,43.0,東京都,2023-07-16,検索広告
193,吉田 颯太,,35.0,東京都,2024-04-12,オーガニック検索
194,中村 陽菜,男性,34.0,神奈川県,2024-04-05,SNS広告
195,山口 凛,M,36.0,千葉県,2023-03-19,SNS広告
196,山田 芽依,女性,47.0,福岡県,2024-04-05,検索広告
197,小林 蓮,F,48.0,東京都,2023-09-01,メルマガ
198,高橋 芽依,M,26.0,大阪府,2023-07-15,友人紹介
199,佐々木 蓮,女性,47.0,東京都,2024-02-28,オーガニック検索
200,渡辺 湊,回答なし,30.0,大阪府,2024/01/29,友人紹介
201,渡辺 結衣　,M,44.0,北海道,2024-11-30,メルマガ
202,鈴木 陽菜,F,36.0, 愛知県 ,2024-02-09,検索広告
203,田中 悠真,女性,57.0,東京都,2023-09-02,検索広告
204,高橋 樹,M,33.0,東京都,2024-08-01,検索広告
205,鈴木 颯太,女性,40.0,千葉県,2024/02/22,検索広告
206,佐藤 悠真　,女性,45.0,神奈川県,2024-07-14,オーガニック検索
207,伊藤 湊,M,,埼玉県,2023-11-22,検索広告
208,佐々木 結衣,女性,37.0,東京都,2024-07-26,メルマガ
209,山口 颯太　,F,999.0,福岡県,2023-04-29,オーガニック検索
210,田中 結衣,男性,32.0,東京都,2024-05-23,SNS広告
211,山本 陽斗,M,33.0,千葉県,2024-01-22,友人紹介
212,山口 結衣,F,51.0,兵庫県,2023/06/11,友人紹介
213,山田 美咲,回答なし,31.0,大阪府,2024-02-17,オーガニック検索
214,松本 悠真,男性,45.0,神奈川県,2023-05-04,オーガニック検索
215,山本 悠人,女性,42.0, 千葉県 ,2024-01-20,友人紹介
216,高橋 葵,女性,21.0,東京都,2024-05-09,オーガニック検索
217,高橋 悠人,M,44.0,千葉県,2024-09-08,メルマガ
218,山田 陽斗,女性,21.0,神奈川県,2024-06-22,検索広告
219,佐藤 湊,男性,46.0,大阪府,2023-11-03,オーガニック検索
220,中村 湊,男性,32.0,兵庫県,2023-12-24,SNS広告
221,渡辺 悠真,女性,38.0,東京都,2023-04-29,検索広告
222,松本 凛,M,22.0,東京都,2024-01-14,検索広告
223,井上 湊,女性,39.0,神奈川県,2024-04-12,検索広告
224,中村 結衣,M,49.0,千葉県,2024-10-11,検索広告
225,加藤 悠真,女性,28.0,神奈川県,2024-02-28,検索広告
226,山本 芽依,男性,31.0,愛知県,2023-09-11,SNS広告
227,佐々木 悠人,女性,43.0,埼玉県,2024-05-16,メルマガ
228,伊藤 陽菜,男性,44.0,福岡県,2024-01-09,オーガニック検索
229,山田 颯太,男性,18.0,神奈川県,2024-07-15,オーガニック検索
230,松本 大翔,女性,62.0,東京都,2023-12-24,検索広告
231,高橋 美咲,女性,44.0,東京都,2024-02-15,メルマガ
232,田中 樹,男性,46.0,愛知県,2023/12/30,検索広告
233,山本 芽依,男性,36.0,東京都,2024-03-10,SNS広告
234,山口 颯太,F,18.0,東京都,2024-01-31,SNS広告
235,吉田 陽斗　,女性,46.0,神奈川県,2024-05-29,友人紹介
236,田中 さくら,男性,,大阪府,2023-05-17,友人紹介
237,渡辺 美咲,女性,45.0, 福岡県 ,2024-01-17,オーガニック検索
238,吉田 凛,男性,,神奈川県,2024-02-20,オーガニック検索
239,井上 悠真,女性,41.0, 東京都 ,2024-11-23,SNS広告
240,中村 悠真　,女性,29.0, 神奈川県 ,2024-08-14,オーガニック検索
241,鈴木 悠真,男性,48.0,神奈川県,2023/12/24,検索広告
242,鈴木 葵,女性,24.0,福岡県,2024-11-06,検索広告
243,佐藤 葵,男性,,埼玉県,2024-04-12,友人紹介
244,高橋 樹,男性,65.0,大阪府,2024-07-24,友人紹介
245,山本 葵　,女性,58.0,広島県,2024-09-02,SNS広告
246,伊藤 悠真,女性,53.0,愛知県,2024-11-20,検索広告
247,伊藤 颯太,女性,37.0, 東京都 ,2024/03/28,検索広告
248,佐々木 悠真,男性,52.0,愛知県,2024-10-27,SNS広告
249,中村 蓮,男性,37.0,神奈川県,2023-09-16,検索広告
250,山田 陽菜,男性,19.0,神奈川県,2024-08-30,オーガニック検索
251,小林 さくら,女性,56.0,福岡県,2024-05-15,検索広告
252,田中 悠人,女性,52.0,東京都,2024-05-06,検索広告
253,井上 美咲,女性,38.0,埼玉県,2023-11-24,検索広告
254,中村 陽菜,男性,23.0,東京都,2024-10-27,オーガニック検索
255,山口 樹,女性,31.0,東京都,2024-07-02,SNS広告
256,鈴木 葵　,女性,18.0,愛知県,2024-05-06,SNS広告
257,山口 悠真,女性,49.0,大阪府,2024-02-15,オーガニック検索
258,山田 芽依,F,19.0,愛知県,2023/03/20,オーガニック検索
259,田中 陽斗,男性,41.0,神奈川県,2024-09-05,SNS広告
260,佐々木 颯太,男性,28.0, 宮城県 ,2023-08-03,オーガニック検索
261,山田 莉子　,回答なし,21.0,埼玉県,2024-10-02,検索広告
262,松本 樹,女性,,埼玉県,2024-09-05,オーガニック検索
263,田中 芽依,男性,34.0,大阪府,2024-06-11,SNS広告
264,松本 美咲,F,48.0,愛知県,2023/07/30,友人紹介
265,佐々木 樹,男性,23.0,兵庫県,2023/07/02,友人紹介
266,渡辺 蓮,M,29.0,大阪府,2024-04-15,オーガニック検索
267,渡辺 悠人,女性,18.0,神奈川県,2024/04/23,メルマガ
268,伊藤 さくら,男性,18.0,愛知県,2023-04-21,検索広告
269,中村 悠真,女性,60.0, 大阪府 ,2024/03/16,オーガニック検索
270,松本 葵,女性,63.0,福岡県,2023-05-16,検索広告
271,山口 悠人,F,39.0,神奈川県,2023-10-29,検索広告
272,高橋 悠人,女性,28.0,愛知県,2024-04-11,SNS広告
273,高橋 凛,男性,34.0,神奈川県,2023-05-10,オーガニック検索
274,佐藤 大翔,男性,48.0,大阪府,2023-08-14,オーガニック検索
275,加藤 さくら,男性,32.0,広島県,2023-12-09,メルマガ
276,渡辺 美咲,男性,41.0,広島県,2024-04-27,オーガニック検索
277,佐々木 芽依,男性,38.0,東京都,2024-01-27,友人紹介
278,佐々木 莉子,女性,31.0,東京都,2023-07-12,メルマガ
279,田中 莉子,女性,32.0,大阪府,2024-03-07,メルマガ
280,山田 結衣,女性,42.0,愛知県,2024-05-14,検索広告
281,佐々木 樹,男性,26.0,広島県,2023-09-28,SNS広告
282,井上 悠真,男性,43.0,東京都,2024-03-18,オーガニック検索
283,山田 大翔,男性,32.0, 兵庫県 ,2024/04/05,友人紹介
284,渡辺 さくら,女性,40.0,大阪府,2024/02/18,検索広告
285,井上 悠真　,女性,55.0, 東京都 ,2024-03-09,SNS広告
286,伊藤 大翔,M,36.0,東京都,2023-04-11,SNS広告
287,佐々木 悠人,女性,49.0,大阪府,2024/07/18,検索広告
288,山本 悠人,男性,18.0,東京都,2024-02-21,メルマガ
289,松本 湊,女性,32.0,大阪府,2023-11-23,検索広告
290,佐々木 葵　,女性,38.0,千葉県,2024-11-27,SNS広告
291,加藤 結衣,男性,61.0,埼玉県,2024-09-30,オーガニック検索
292,田中 美咲,,18.0, 東京都 ,2023-04-21,SNS広告
293,田中 樹,M,37.0,福岡県,2024-11-16,検索広告
294,井上 樹,女性,,大阪府,2024-08-20,オーガニック検索
295,佐々木 さくら　,F,29.0,大阪府,2024-01-20,SNS広告
296,小林 湊,男性,35.0,大阪府,2024/03/16,友人紹介
297,松本 美咲,男性,42.0,愛知県,2023-06-08,オーガニック検索
298,佐々木 美咲,女性,40.0,福岡県,2023-09-22,友人紹介
299,山本 さくら,男性,57.0,愛知県,2023/09/28,検索広告
300,山口 颯太,女性,43.0, 千葉県 ,2024-05-06,オーガニック検索
204,高橋 樹,M,33.0,東京都,2024-08-01,検索広告
267,渡辺 悠人,女性,18.0,神奈川県,2024/04/23,メルマガ
153,高橋 悠人,男性,26.0,埼玉県,2024-09-24,SNS広告
10,加藤 悠真,男性,38.0,東京都,2024-10-21,SNS広告
234,山口 颯太,F,18.0,東京都,2024-01-31,SNS広告
227,佐々木 悠人,女性,43.0,埼玉県,2024-05-16,メルマガ
197,小林 蓮,F,48.0,東京都,2023-09-01,メルマガ
110,渡辺 湊,女性,26.0,東京都,2023/10/03,検索広告
6,鈴木 結衣,男性,22.0,大阪府,2024-08-30,検索広告
176,小林 美咲,女性,38.0,東京都,2024-09-26,SNS広告
238,吉田 凛,男性,,神奈川県,2024-02-20,オーガニック検索
58,山本 悠人,M,38.0,千葉県,2024/08/10,検索広告
219,佐藤 湊,男性,46.0,大阪府,2023-11-03,オーガニック検索
46,渡辺 陽菜,女性,46.0,東京都,2023-10-29,友人紹介
183,吉田 凛,男性,44.0,大阪府,2024/12/16,友人紹介
